enabled	group	kind	name	expected_iteration	source	path_in_repo	note
1	g2	megatron	g2_ffn_only_kd_conversation_init	600	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/conversation/expansion_distill_init_joint_code/g2-ffn-only-e16to24-conv-init-from-joint-code-logits-wikicode-distill-mb32-600	g2_wiki_code_conversation/kd_1phase/ffn_only/conversation/kd_init	Wiki plus Code logits KD initialization
1	g2	megatron	g2_ffn_only_1phase_conversation	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/conversation/joint_lm_replay/g2-ffn-only-conv-wikicode-joint-lm-allrouter-112-mb128-1800	g2_wiki_code_conversation/kd_1phase/ffn_only/conversation/one_phase	Conversation plus Wiki and Code one-phase final
1	g2	megatron	g2_ffn_attn_kd_code_init_loadfix_v3	600	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/code/shared_router_expansion_distill_init/g2-shared-router-e8to16-code-expert-init-logits-wiki-distill-qkvo-mha-a100-bf16-mb48-600-attn-loadfix-v3-nosaveoptim	g2_wiki_code_conversation/kd_1phase/ffn_attn_shared_router/code/kd_init	Corrected attention load and KD path
1	g2	megatron	g2_ffn_attn_1phase_code_loadfix_v3	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/code/shared_router_joint_lm_replay/g2-shared-router-code-wiki-joint-lm-allrouter-logits-init-mb96-1800-attn-loadfix-v3-nosaveoptim	g2_wiki_code_conversation/kd_1phase/ffn_attn_shared_router/code/one_phase	Corrected Code and Wiki one-phase final
1	g2	megatron	g2_ffn_attn_kd_conversation_init_loadfix_v3	600	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/conversation/shared_router_expansion_distill_init_joint_code/g2-shared-router-e16to24-conversation-expert-init-logits-wikicode-distill-qkvo-mha-a100-bf16-mb36-600-attn-loadfix-v3-nosaveoptim	g2_wiki_code_conversation/kd_1phase/ffn_attn_shared_router/conversation/kd_init	Corrected Conversation KD final
0	g2	megatron	g2_ffn_attn_1phase_conversation_loadfix_v3	1800	/home/work/Agent_HJ/30_flame_agent/LLM-continual-learning/.local/weights/a100/mha/g2-checkpoints/conversation/shared_router_joint_lm_replay/g2-shared-router-conv-wikicode-joint-lm-allrouter-112-logits-init-mb96-1800-attn-loadfix-v3-nosaveoptim	g2_wiki_code_conversation/kd_1phase/ffn_attn_shared_router/conversation/one_phase	INCOMPLETE on 2026-08-02: tracker was 1200 of 1800
1	trace	top_files	trace_pre_local_order1		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/pre/order1	trace/pre_local/order1	Root-level final adapter only; excludes checkpoint-* directory
1	trace	top_files	trace_seq_order1		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order1	trace/seq/order1	Root-level final adapter only
1	trace	top_files	trace_seq_order2		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order2	trace/seq/order2	Root-level final adapter only
1	trace	top_files	trace_seq_order3		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order3	trace/seq/order3	Root-level final adapter only
1	trace	top_files	trace_seq_order4		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order4	trace/seq/order4	Root-level final adapter only
1	trace	top_files	trace_seq_order5		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order5	trace/seq/order5	Root-level final adapter only
1	trace	top_files	trace_seq_order6		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order6	trace/seq/order6	Root-level final adapter only
1	trace	top_files	trace_seq_order7		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order7	trace/seq/order7	Root-level final adapter only
1	trace	top_files	trace_seq_order8		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/seq/order8	trace/seq/order8	Root-level final adapter only
1	trace	top_files	trace_ours_v1_task0		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/0	trace/ours_lora_moe_v1/task0	Final snapshot after task 0
1	trace	top_files	trace_ours_v1_task1		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/1	trace/ours_lora_moe_v1/task1	Final snapshot after task 1
1	trace	top_files	trace_ours_v1_task2		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/2	trace/ours_lora_moe_v1/task2	Final snapshot after task 2
1	trace	top_files	trace_ours_v1_task3		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/3	trace/ours_lora_moe_v1/task3	Final snapshot after task 3
1	trace	top_files	trace_ours_v1_task4		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/4	trace/ours_lora_moe_v1/task4	Final snapshot after task 4
1	trace	top_files	trace_ours_v1_task5		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/5	trace/ours_lora_moe_v1/task5	Final snapshot after task 5
1	trace	top_files	trace_ours_v1_task6		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/6	trace/ours_lora_moe_v1/task6	Final snapshot after task 6
1	trace	top_files	trace_ours_v1_task7		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v1/7	trace/ours_lora_moe_v1/task7	Final snapshot after task 7
1	trace	top_files	trace_ours_v2_task0		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/0	trace/ours_lora_moe_v2/task0	Final snapshot after task 0
1	trace	top_files	trace_ours_v2_task1		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/1	trace/ours_lora_moe_v2/task1	Final snapshot after task 1
1	trace	top_files	trace_ours_v2_task2		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/2	trace/ours_lora_moe_v2/task2	Final snapshot after task 2
1	trace	top_files	trace_ours_v2_task3		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/3	trace/ours_lora_moe_v2/task3	Final snapshot after task 3
1	trace	top_files	trace_ours_v2_task4		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/4	trace/ours_lora_moe_v2/task4	Final snapshot after task 4
1	trace	top_files	trace_ours_v2_task5		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/5	trace/ours_lora_moe_v2/task5	Final snapshot after task 5
1	trace	top_files	trace_ours_v2_task6		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/6	trace/ours_lora_moe_v2/task6	Final snapshot after task 6
1	trace	top_files	trace_ours_v2_task7		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2/7	trace/ours_lora_moe_v2/task7	Final snapshot after task 7
1	trace	top_files	trace_ours_v2_5_task0		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/0	trace/ours_lora_moe_v2_5/task0	Final snapshot after task 0
1	trace	top_files	trace_ours_v2_5_task1		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/1	trace/ours_lora_moe_v2_5/task1	Final snapshot after task 1
1	trace	top_files	trace_ours_v2_5_task2		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/2	trace/ours_lora_moe_v2_5/task2	Final snapshot after task 2
1	trace	top_files	trace_ours_v2_5_task3		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/3	trace/ours_lora_moe_v2_5/task3	Final snapshot after task 3
1	trace	top_files	trace_ours_v2_5_task4		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/4	trace/ours_lora_moe_v2_5/task4	Final snapshot after task 4
1	trace	top_files	trace_ours_v2_5_task5		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/5	trace/ours_lora_moe_v2_5/task5	Final snapshot after task 5
1	trace	top_files	trace_ours_v2_5_task6		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/6	trace/ours_lora_moe_v2_5/task6	Final snapshot after task 6
1	trace	top_files	trace_ours_v2_5_task7		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs/llama31/ours_lora_moe_v2_5/7	trace/ours_lora_moe_v2_5/task7	Final snapshot after task 7
1	trace	top_files	trace_upstream_pre_order1		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order1	trace/upstream_pre/order1	Upstream reproduction final adapter
1	trace	top_files	trace_upstream_pre_order2		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order2	trace/upstream_pre/order2	Upstream reproduction final adapter
1	trace	top_files	trace_upstream_pre_order3		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order3	trace/upstream_pre/order3	Upstream reproduction final adapter
1	trace	top_files	trace_upstream_pre_order4		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order4	trace/upstream_pre/order4	Upstream reproduction final adapter
1	trace	top_files	trace_upstream_pre_order5		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order5	trace/upstream_pre/order5	Upstream reproduction final adapter
1	trace	top_files	trace_upstream_pre_order6		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order6	trace/upstream_pre/order6	Upstream reproduction final adapter
1	trace	top_files	trace_upstream_pre_order7		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order7	trace/upstream_pre/order7	Upstream reproduction final adapter
1	trace	top_files	trace_upstream_pre_order8		/home/work/Agent_HJ/30_flame_agent/slora_repro/results/full_runs_upstream_code/llama31/pre/order8	trace/upstream_pre/order8	Upstream reproduction final adapter
